nombreApellidos,sexo,raza,fechaNacimiento,vestimenta,codUsuario
John Smith,M,Humano,1990-12-01,30,1
Alice Johnson,F,Elfo,1985-06-24,29,2
Hank Williams,M,Enano,1978-03-15,28,3
Aria Stark,F,Medioelfo,1996-09-23,27,4
Gandalf Grey,M,Mago,1955-01-01,26,5
Legolas Greenleaf,M,Elfo,1992-02-14,25,6
Tyrion Lannister,M,Lannister,1982-04-24,24,7
Daenerys Targaryen,F,Targaryen,1986-10-23,23,8
Bilbo Baggins,M,Hobbit,1950-09-22,22,9
Frodo Baggins,M,Hobbit,1951-08-04,21,10
Samwise Gamgee,M,Hobbit,1952-05-01,20,11
Gimli,M,Enano,1953-12-29,19,12
Eowyn of Rohan,F,Humano,1954-10-08,18,13
Meriadoc Brandybuck,M,Hobbit,1956-12-16,17,14
Peregrin Took,M,Hobbit,1957-03-03,16,15
Thorin Oakenshield,M,Enano,1958-05-21,15,16
Bard the Bowman,M,Humano,1959-06-02,14,17
Prince Imrahil,M,Humano,1960-12-21,13,18
Galadriel,F,Elfo,1961-01-01,12,19
Arwen Undomiel,F,Elfo,1962-01-01,11,20
Sauron,M,Maia,1970-01-01,10,21
Witch-King of Angmar,M,Nazgul,1960-01-01,9,22
Boromir,M,Humano,1961-02-23,8,23
Faramir,M,Humano,1962-05-07,7,24
Denethor II,M,Humano,1963-04-02,6,25
Eomer,M,Humano,1964-03-06,5,26
Eowyn,F,Humano,1965-10-12,4,27
Treebeard,M,Ent,1978-10-12,3,28
Gollum,M,Hobbit,1966-08-23,2,29
Legoland Castle,M,Toy,2003-10-12,1,30
